+------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------+------------------------------------------------------------------------------------------------+
| name                                                             | attached_policy_arns                                                                                                                                 | action                                       | principal                                                                                      |
| AWSServiceRoleForTrustedAdvisor                                  | ["arn:aws:iam::aws:policy/aws-service-role/AWSTrustedAdvisorServiceRolePolicy"]                                                                      | sts:AssumeRole                               | {"Service": "trustedadvisor.amazonaws.com"}                                                    |
| AWSServiceRoleForEC2Spot                                         | ["arn:aws:iam::aws:policy/aws-service-role/AWSEC2SpotServiceRolePolicy"]                                                                             | sts:AssumeRole                               | {"Service": "spot.amazonaws.com"}                                                              |
| AWSServiceRoleForServiceQuotas                                   | ["arn:aws:iam::aws:policy/aws-service-role/ServiceQuotasServiceRolePolicy"]                                                                          | sts:AssumeRole                               | {"Service": "servicequotas.amazonaws.com"}                                                     |
| AWSReservedSSO_ReadOnlyAccess_67369328b72db7aa                   | ["arn:aws:iam::aws:policy/ReadOnlyAccess"]                                                                                                           | ["sts:AssumeRoleWithSAML", "sts:TagSession"] | {"Federated": "arn:aws:iam::097423404838:saml-provider/AWSSSO_b65fe12cfe58af8e_DO_NOT_DELETE"} |
| AWSReservedSSO_AWSReadOnlyAccess_badf4d9b053a9964                | ["arn:aws:iam::aws:policy/job-function/ViewOnlyAccess"]                                                                                              | ["sts:AssumeRoleWithSAML", "sts:TagSession"] | {"Federated": "arn:aws:iam::097423404838:saml-provider/AWSSSO_b65fe12cfe58af8e_DO_NOT_DELETE"} |
| AWSServiceRoleForEC2SpotFleet                                    | ["arn:aws:iam::aws:policy/aws-service-role/AWSEC2SpotFleetServiceRolePolicy"]                                                                        | sts:AssumeRole                               | {"Service": "spotfleet.amazonaws.com"}                                                         |
| AWSReservedSSO_AWSServiceCatalogAdminFullAccess_b6c5524934cb31fb | ["arn:aws:iam::aws:policy/AWSServiceCatalogAdminFullAccess"]                                                                                         | ["sts:AssumeRoleWithSAML", "sts:TagSession"] | {"Federated": "arn:aws:iam::097423404838:saml-provider/AWSSSO_b65fe12cfe58af8e_DO_NOT_DELETE"} |
| AWSServiceRoleForCloudTrail                                      | ["arn:aws:iam::aws:policy/aws-service-role/CloudTrailServiceRolePolicy"]                                                                             | sts:AssumeRole                               | {"Service": "cloudtrail.amazonaws.com"}                                                        |
| AWSServiceRoleForAwsUserNotifications                            | ["arn:aws:iam::aws:policy/aws-service-role/AWSUserNotificationsServiceLinkedRolePolicy"]                                                             | sts:AssumeRole                               | {"Service": "notifications.amazonaws.com"}                                                     |
| AWSServiceRoleForAmazonGuardDuty                                 | ["arn:aws:iam::aws:policy/aws-service-role/AmazonGuardDutyServiceRolePolicy"]                                                                        | sts:AssumeRole                               | {"Service": "guardduty.amazonaws.com"}                                                         |
| AWSServiceRoleForOrganizations                                   | ["arn:aws:iam::aws:policy/aws-service-role/AWSOrganizationsServiceTrustPolicy"]                                                                      | sts:AssumeRole                               | {"Service": "organizations.amazonaws.com"}                                                     |
| AWSReservedSSO_AWSServiceCatalogEndUserAccess_95d8b712c4c9f660   | ["arn:aws:iam::aws:policy/AWSServiceCatalogEndUserFullAccess"]                                                                                       | ["sts:AssumeRoleWithSAML", "sts:TagSession"] | {"Federated": "arn:aws:iam::097423404838:saml-provider/AWSSSO_b65fe12cfe58af8e_DO_NOT_DELETE"} |
| AWSServiceRoleForSupport                                         | ["arn:aws:iam::aws:policy/aws-service-role/AWSSupportServiceRolePolicy"]                                                                             | sts:AssumeRole                               | {"Service": "support.amazonaws.com"}                                                           |
| AWSControlTowerConfigAggregatorRoleForOrganizations              | ["arn:aws:iam::aws:policy/service-role/AWSConfigRoleForOrganizations"]                                                                               | sts:AssumeRole                               | {"Service": "config.amazonaws.com"}                                                            |
+------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------+------------------------------------------------------------------------------------------------+
